# Puzzles from the Lichess puzzle database (CC0), chosen by python/puzzles.py.
# id<TAB>fen<TAB>moves (UCI; the first is the opponent's)<TAB>rating<TAB>themes
NgxN9	4rk2/1p3prp/p7/8/2P1q2Q/R7/5PPP/5RK1 w - - 4 27	h4h6 e4g2	700	endgame mate mateIn1
ihmRp	8/5rk1/1p5p/2pQ3P/P5P1/6K1/2P2r2/8 b - - 5 65	f2f3 d5f3 f7f3 g3f3	710	endgame
9IJ9d	b5k1/p4ppp/2p1p3/2Pn4/4P3/P5P1/2r2PBP/3R2K1 b - - 0 26	d5f6 d1d8 f6e8 d8e8	727	backRankMate endgame fork mate mateIn2
Cpa77	r3k2r/4bppp/p3bn2/1R6/QPPq4/8/P2N1PPP/R1B3K1 b kq - 0 16	d4a1 b5b8	730	doubleCheck mate mateIn1 middlegame
TiyRW	r2q1rk1/ppp2pp1/5b2/6P1/3pQ3/2P1P3/PP3P2/RN2K2R b KQ - 0 18	f6g5 e4h7	733	mate mateIn1 middlegame
jqG75	rn4k1/p4ppp/b7/3P4/4qBn1/7P/PP2QPP1/2R1KB1R b K - 1 20	a6e2 c1c8 e4e8 c8e8	734	backRankMate mate mateIn2 middlegame
6dY6Q	8/5k2/8/2p5/1p6/1P2bp1P/P1R5/1K6 w - - 0 45	h3h4 f3f2 c2f2 e3f2	736	advancedPawn endgame
We3sD	rnbq1k1r/pp2npp1/2p1p3/3pP1Qp/1b1P3P/2N5/PPPB1PP1/2KR1BNR b - - 1 9	e7f5 g5d8	736	hangingPiece mate mateIn1 middlegame
FJaKX	r5k1/p1p2ppp/2p2r2/5b2/8/2PPqQ2/PP4PP/R3NK1R w - - 8 18	f3e3 f5d3 f1g1 f6f1	737	doubleCheck mate mateIn2 middlegame
Gc8cQ	rnb1k1nr/pppp1ppp/5q2/2b1p3/4P3/6P1/PPPP1PBP/RNBQK1NR w KQkq - 3 4	d2d3 f6f2	742	mate mateIn1 opening
QkZ8x	r2q2k1/ppp2p2/3p2pp/6n1/3b1B2/2N3Pb/PP3PBK/R3Q3 w - - 0 18	g2h3 g5f3 h2g2 f3e1	746	fork middlegame
j8ACl	rnb3k1/p6p/2p1p2p/q2pP1r1/2pP2B1/2N1P3/PP4Q1/R3K3 b Q - 3 21	h6h5 g4e6 c8e6 g2g5	749	discoveredAttack kingsideAttack middlegame
CqtKi	rn1qkr2/pp2ppQp/2p5/3p2NR/3P4/8/PPb1PPP1/R3KB2 w Qq - 0 14	g5h7 d8a5 b2b4 a5b4	754	mate mateIn2 middlegame
Lrb3p	rnb1kb1r/ppp2ppp/4p3/3p4/4nP1q/1P1BP3/PBPP2PP/RN1QK1NR w KQkq - 3 6	e1e2 h4f2	754	mate mateIn1 opening
97cz2	2rk4/1b2bppp/p2p1n2/3Pp1B1/B3P3/P6Q/1P3PPP/6K1 w - - 8 24	g5f6 c8c1 a4d1 c1d1	754	backRankMate endgame mate mateIn2
yVAmh	2r5/p2n1kb1/1p5p/1N3pp1/2PP1p2/1N6/PP4PP/5RK1 b - - 2 28	c8c4 b5d6 f7e6 d6c4	756	endgame fork
5AS79	r1bqrn1k/pp2bQpB/2p2p2/3pN3/3P1P2/2P1B2P/PP4P1/R4RK1 b - - 0 16	f6e5 f7g8	759	mate mateIn1 middlegame
ufjVR	3r3r/p2k1ppp/b1p5/8/8/b4N2/P1PB1PPP/RK5R w - - 7 17	c2c3 a6d3	759	mate mateIn1 middlegame
7l9he	5rk1/6p1/p2q3p/3p4/P1p1p2Q/2P1P2P/1n4P1/1R3N1K w - - 0 31	b1b2 f8f1	759	endgame hangingPiece mate mateIn1
nArJP	2r2r2/4n2p/8/p3P3/1p5k/5B2/4NK2/2B2R2 b - - 11 38	e7g6 f1h1	760	mate mateIn1 middlegame
VcgEK	r4rk1/pp3ppp/5n2/4q3/3P2b1/P1NB4/1P1Q1PPP/R4RK1 b - - 0 15	e5d4 d3h7 g8h7 d2d4	764	discoveredAttack kingsideAttack middlegame
uj0aC	2rr1k2/5p2/p3p1p1/1p2P2p/5P2/P3BR1P/6P1/R6K w - - 0 30	a1c1 c8c1 e3c1 d8d1 h1h2 d1c1	765	endgame fork
nOvpo	rnbq1k1r/ppn2P2/3p2QP/2p1p3/2P5/1PP5/P4P2/4KBNR b K - 0 15	d8e7 g6g7	766	mate mateIn1 middlegame
d89GS	4N3/8/1p6/p2pPb2/2kP2pb/P1B5/1P6/5K2 b - - 1 42	b6b5 e8d6 c4d3 d6f5	771	endgame fork
m57Yc	8/3k4/3P2rp/2R1Pp2/2p2K2/6P1/1P6/8 w - - 2 38	c5c4 g6g4 f4f5 g4c4	772	endgame rookEndgame skewer
t7UaY	8/3Q1pk1/4p3/3p1p1p/P7/2n1P3/3R1PPP/1r1qK3 w - - 0 34	d2d1 b1d1	773	endgame mate mateIn1
